True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
academicgown vs notePC,,t=4.03 p=1.00e-04 q=4.00e-04 d=0.15,,,t=6.05 p=0.00e+00 q=0.00e+00 d=0.36,,,t=4.79 p=0.00e+00 q=0.00e+00 d=0.36,t=10.63 p=0.00e+00 q=0.00e+00 d=0.93,t=4.96 p=0.00e+00 q=0.00e+00 d=0.47,,t=-12.15 p=0.00e+00 q=0.00e+00 d=0.66
academicgown vs sunscreen,t=3.62 p=4.00e-04 q=1.50e-03 d=0.05,t=4.21 p=0.00e+00 q=2.00e-04 d=0.16,t=2.71 p=7.30e-03 q=1.94e-02 d=0.15,,t=3.99 p=1.00e-04 q=4.00e-04 d=0.27,,,t=3.42 p=8.00e-04 q=2.70e-03 d=0.28,t=3.22 p=1.50e-03 q=4.90e-03 d=0.34,t=5.59 p=0.00e+00 q=0.00e+00 d=0.57,t=8.06 p=0.00e+00 q=0.00e+00 d=0.58,t=-10.91 p=0.00e+00 q=0.00e+00 d=1.27
academicgown vs wig,t=6.03 p=0.00e+00 q=0.00e+00 d=0.08,,t=-3.51 p=6.00e-04 q=2.10e-03 d=0.21,t=-2.31 p=2.19e-02 q=4.93e-02 d=0.06,t=4.00 p=1.00e-04 q=4.00e-04 d=0.38,,t=3.79 p=2.00e-04 q=9.00e-04 d=0.20,t=3.10 p=2.20e-03 q=6.90e-03 d=0.22,t=12.36 p=0.00e+00 q=0.00e+00 d=1.10,,t=-6.05 p=0.00e+00 q=0.00e+00 d=0.56,t=-20.58 p=0.00e+00 q=0.00e+00 d=1.02
academicgown vs lipstick,,,,t=-2.84 p=5.00e-03 q=1.41e-02 d=0.15,t=6.23 p=0.00e+00 q=0.00e+00 d=0.52,,,t=2.65 p=8.70e-03 q=2.24e-02 d=0.21,t=14.36 p=0.00e+00 q=0.00e+00 d=1.30,,t=5.45 p=0.00e+00 q=0.00e+00 d=0.47,t=-8.65 p=0.00e+00 q=0.00e+00 d=0.79
academicgown vs bra,t=2.96 p=3.50e-03 q=1.02e-02 d=0.03,t=4.11 p=1.00e-04 q=3.00e-04 d=0.13,t=2.43 p=1.59e-02 q=3.73e-02 d=0.11,,t=4.89 p=0.00e+00 q=0.00e+00 d=0.29,,t=-2.43 p=1.61e-02 q=3.78e-02 d=0.11,t=3.15 p=1.90e-03 q=6.00e-03 d=0.22,t=10.35 p=0.00e+00 q=0.00e+00 d=0.96,,t=4.32 p=0.00e+00 q=1.00e-04 d=0.32,t=-37.15 p=0.00e+00 q=0.00e+00 d=1.37
academicgown vs windsor,t=-2.88 p=4.50e-03 q=1.27e-02 d=0.09,t=-4.28 p=0.00e+00 q=2.00e-04 d=0.17,,,t=5.19 p=0.00e+00 q=0.00e+00 d=0.36,,t=3.59 p=4.00e-04 q=1.60e-03 d=0.17,t=5.24 p=0.00e+00 q=0.00e+00 d=0.31,,,,t=-4.24 p=0.00e+00 q=2.00e-04 d=0.54
academicgown vs desk,,t=3.08 p=2.40e-03 q=7.40e-03 d=0.19,,t=-3.03 p=2.80e-03 q=8.50e-03 d=0.12,t=2.59 p=1.04e-02 q=2.60e-02 d=0.16,,t=5.24 p=0.00e+00 q=0.00e+00 d=0.40,t=7.03 p=0.00e+00 q=0.00e+00 d=0.64,t=9.20 p=0.00e+00 q=0.00e+00 d=0.87,t=3.15 p=1.90e-03 q=6.00e-03 d=0.29,,t=-10.30 p=0.00e+00 q=0.00e+00 d=0.94
academicgown vs library,,t=2.79 p=5.90e-03 q=1.61e-02 d=0.10,,,t=2.74 p=6.80e-03 q=1.81e-02 d=0.18,,t=6.38 p=0.00e+00 q=0.00e+00 d=0.48,t=6.48 p=0.00e+00 q=0.00e+00 d=0.61,t=11.69 p=0.00e+00 q=0.00e+00 d=1.08,,t=8.91 p=0.00e+00 q=0.00e+00 d=0.86,t=-9.08 p=0.00e+00 q=0.00e+00 d=1.06
pajamas vs oscilloscope,t=-3.05 p=2.70e-03 q=8.10e-03 d=0.26,t=-4.00 p=1.00e-04 q=4.00e-04 d=0.41,,t=-5.42 p=0.00e+00 q=0.00e+00 d=0.52,,,t=3.35 p=1.00e-03 q=3.30e-03 d=0.33,,t=-5.38 p=0.00e+00 q=0.00e+00 d=0.63,,t=-2.54 p=1.18e-02 q=2.91e-02 d=0.32,t=-2.80 p=5.60e-03 q=1.53e-02 d=0.36
pajamas vs suit,,,,,t=2.40 p=1.72e-02 q=4.01e-02 d=0.21,,,t=-5.56 p=0.00e+00 q=0.00e+00 d=0.47,t=-9.34 p=0.00e+00 q=0.00e+00 d=0.98,,t=9.29 p=0.00e+00 q=0.00e+00 d=0.59,
pajamas vs notePC,,,,,t=4.46 p=0.00e+00 q=1.00e-04 d=0.31,,,t=-3.76 p=2.00e-04 q=9.00e-04 d=0.16,t=-7.85 p=0.00e+00 q=0.00e+00 d=0.73,t=2.63 p=9.40e-03 q=2.40e-02 d=0.17,,t=6.31 p=0.00e+00 q=0.00e+00 d=0.39
pajamas vs sunscreen,,,t=3.55 p=5.00e-04 q=1.80e-03 d=0.20,,t=3.39 p=8.00e-04 q=2.90e-03 d=0.22,,,t=-4.14 p=1.00e-04 q=3.00e-04 d=0.19,t=-11.94 p=0.00e+00 q=0.00e+00 d=0.97,t=4.35 p=0.00e+00 q=1.00e-04 d=0.27,t=6.59 p=0.00e+00 q=0.00e+00 d=0.52,
pajamas vs wig,t=4.00 p=1.00e-04 q=4.00e-04 d=0.06,,t=-3.02 p=2.90e-03 q=8.70e-03 d=0.16,,t=4.20 p=0.00e+00 q=2.00e-04 d=0.32,t=-2.78 p=6.00e-03 q=1.64e-02 d=0.16,,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.31,t=-7.24 p=0.00e+00 q=0.00e+00 d=0.54,,t=-5.82 p=0.00e+00 q=0.00e+00 d=0.60,
pajamas vs lipstick,,t=-2.75 p=6.60e-03 q=1.78e-02 d=0.19,,t=-2.34 p=2.04e-02 q=4.64e-02 d=0.11,t=6.14 p=0.00e+00 q=0.00e+00 d=0.47,,,t=-4.52 p=0.00e+00 q=1.00e-04 d=0.25,,,t=5.09 p=0.00e+00 q=0.00e+00 d=0.41,
pajamas vs bra,,,t=3.95 p=1.00e-04 q=5.00e-04 d=0.15,,t=4.75 p=0.00e+00 q=0.00e+00 d=0.24,,t=-7.31 p=0.00e+00 q=0.00e+00 d=0.34,t=-6.56 p=0.00e+00 q=0.00e+00 d=0.22,t=-6.57 p=0.00e+00 q=0.00e+00 d=0.40,,t=4.89 p=0.00e+00 q=0.00e+00 d=0.27,t=-11.72 p=0.00e+00 q=0.00e+00 d=0.49
pajamas vs windsor,t=-3.53 p=5.00e-04 q=1.90e-03 d=0.12,t=-4.70 p=0.00e+00 q=0.00e+00 d=0.26,,,t=3.92 p=1.00e-04 q=5.00e-04 d=0.31,,,t=-3.54 p=5.00e-04 q=1.90e-03 d=0.30,t=-11.32 p=0.00e+00 q=0.00e+00 d=1.24,,,t=4.71 p=0.00e+00 q=0.00e+00 d=0.50
pajamas vs desk,t=-2.58 p=1.06e-02 q=2.64e-02 d=0.08,,,,,,,,t=-7.11 p=0.00e+00 q=0.00e+00 d=0.73,,t=-2.71 p=7.40e-03 q=1.96e-02 d=0.27,
pajamas vs library,,,,,,,t=2.99 p=3.20e-03 q=9.40e-03 d=0.23,,t=-4.50 p=0.00e+00 q=1.00e-04 d=0.47,,t=7.69 p=0.00e+00 q=0.00e+00 d=0.82,
oscilloscope vs suit,t=2.79 p=5.90e-03 q=1.61e-02 d=0.25,t=4.36 p=0.00e+00 q=1.00e-04 d=0.45,,t=5.57 p=0.00e+00 q=0.00e+00 d=0.55,,,t=-4.58 p=0.00e+00 q=0.00e+00 d=0.45,t=-3.52 p=5.00e-04 q=2.00e-03 d=0.42,t=-3.84 p=2.00e-04 q=7.00e-04 d=0.40,t=2.52 p=1.27e-02 q=3.10e-02 d=0.26,t=8.49 p=0.00e+00 q=0.00e+00 d=0.91,t=8.50 p=0.00e+00 q=0.00e+00 d=0.98
oscilloscope vs notePC,t=2.74 p=6.80e-03 q=1.82e-02 d=0.23,t=4.86 p=0.00e+00 q=0.00e+00 d=0.47,t=2.88 p=4.40e-03 q=1.25e-02 d=0.21,t=5.88 p=0.00e+00 q=0.00e+00 d=0.56,,,t=-6.02 p=0.00e+00 q=0.00e+00 d=0.53,,,t=4.40 p=0.00e+00 q=1.00e-04 d=0.39,,t=9.85 p=0.00e+00 q=0.00e+00 d=1.25
oscilloscope vs sunscreen,t=3.34 p=1.00e-03 q=3.50e-03 d=0.28,t=4.54 p=0.00e+00 q=1.00e-04 d=0.45,t=3.95 p=1.00e-04 q=5.00e-04 d=0.33,t=5.36 p=0.00e+00 q=0.00e+00 d=0.50,,,t=-4.31 p=0.00e+00 q=1.00e-04 d=0.40,,,t=4.57 p=0.00e+00 q=1.00e-04 d=0.49,t=8.16 p=0.00e+00 q=0.00e+00 d=0.95,t=11.73 p=0.00e+00 q=0.00e+00 d=0.74
oscilloscope vs wig,t=3.64 p=4.00e-04 q=1.40e-03 d=0.31,t=3.91 p=1.00e-04 q=6.00e-04 d=0.39,,t=5.11 p=0.00e+00 q=0.00e+00 d=0.49,,,t=-3.27 p=1.30e-03 q=4.30e-03 d=0.32,,,,t=-4.83 p=0.00e+00 q=0.00e+00 d=0.46,t=2.61 p=9.70e-03 q=2.47e-02 d=0.34
oscilloscope vs lipstick,t=4.33 p=0.00e+00 q=1.00e-04 d=0.32,t=2.44 p=1.58e-02 q=3.72e-02 d=0.21,t=2.37 p=1.86e-02 q=4.30e-02 d=0.20,t=4.84 p=0.00e+00 q=0.00e+00 d=0.43,t=3.37 p=9.00e-04 q=3.20e-03 d=0.28,,t=-4.88 p=0.00e+00 q=0.00e+00 d=0.46,,t=5.96 p=0.00e+00 q=0.00e+00 d=0.54,,t=8.99 p=0.00e+00 q=0.00e+00 d=0.80,
oscilloscope vs bra,t=3.11 p=2.20e-03 q=6.80e-03 d=0.27,t=4.35 p=0.00e+00 q=1.00e-04 d=0.43,t=3.35 p=1.00e-03 q=3.30e-03 d=0.29,t=5.58 p=0.00e+00 q=0.00e+00 d=0.53,,,t=-7.45 p=0.00e+00 q=0.00e+00 d=0.71,,,,t=5.12 p=0.00e+00 q=0.00e+00 d=0.54,
oscilloscope vs windsor,,,,t=5.65 p=0.00e+00 q=0.00e+00 d=0.53,,,t=-4.66 p=0.00e+00 q=0.00e+00 d=0.43,,t=-6.83 p=0.00e+00 q=0.00e+00 d=0.59,,,t=14.95 p=0.00e+00 q=0.00e+00 d=1.51
oscilloscope vs desk,,t=5.34 p=0.00e+00 q=0.00e+00 d=0.51,,t=5.56 p=0.00e+00 q=0.00e+00 d=0.47,,,t=-2.76 p=6.30e-03 q=1.70e-02 d=0.22,t=2.73 p=6.90e-03 q=1.84e-02 d=0.26,,t=2.57 p=1.08e-02 q=2.69e-02 d=0.19,,t=4.16 p=0.00e+00 q=2.00e-04 d=0.38
oscilloscope vs library,t=2.36 p=1.93e-02 q=4.42e-02 d=0.19,t=4.20 p=0.00e+00 q=2.00e-04 d=0.42,,t=5.57 p=0.00e+00 q=0.00e+00 d=0.52,,,,,t=4.22 p=0.00e+00 q=2.00e-04 d=0.30,,t=10.62 p=0.00e+00 q=0.00e+00 d=1.12,t=7.83 p=0.00e+00 q=0.00e+00 d=0.74
suit vs notePC,,,t=2.88 p=4.40e-03 q=1.25e-02 d=0.17,,,,,t=3.76 p=2.00e-04 q=9.00e-04 d=0.32,t=5.58 p=0.00e+00 q=0.00e+00 d=0.58,,t=-7.27 p=0.00e+00 q=0.00e+00 d=0.50,t=10.86 p=0.00e+00 q=0.00e+00 d=0.60
suit vs sunscreen,,,t=4.07 p=1.00e-04 q=3.00e-04 d=0.30,,,,,t=2.63 p=9.30e-03 q=2.37e-02 d=0.24,,t=3.06 p=2.60e-03 q=7.80e-03 d=0.29,t=-2.37 p=1.86e-02 q=4.30e-02 d=0.19,t=-3.07 p=2.40e-03 q=7.50e-03 d=0.39
